iter	Passed	Remaining
0	1	114
1	2	112
2	3	108
3	4	98
4	5	97
5	5	93
6	6	91
7	7	89
8	8	88
9	9	86
10	10	85
11	11	84
12	12	83
13	13	81
14	14	80
15	15	79
16	16	78
17	16	77
18	17	75
19	18	74
20	19	73
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	68
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	56	34
62	57	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	81	11
88	82	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	91	0
