iter	Passed	Remaining
0	151	151107
1	153	76845
2	155	51679
3	157	39213
4	159	31780
5	161	26713
6	163	23137
7	164	20427
8	166	18317
9	167	16629
10	170	15312
11	172	14223
12	175	13309
13	177	12502
14	179	11769
15	181	11133
16	183	10584
17	185	10096
18	186	9653
19	188	9246
20	190	8876
21	192	8548
22	194	8264
23	196	8004
24	198	7739
25	200	7512
26	203	7320
27	204	7111
28	207	6934
29	208	6752
30	210	6588
31	212	6439
32	215	6321
33	218	6211
34	220	6086
35	222	5970
36	224	5847
37	226	5727
38	228	5620
39	231	5545
40	233	5451
41	238	5442
42	240	5351
43	242	5276
44	244	5189
45	246	5102
46	247	5019
47	249	4946
48	251	4885
49	253	4822
50	255	4757
51	257	4698
52	259	4633
53	261	4583
54	262	4516
55	264	4460
56	266	4409
57	268	4355
58	269	4299
59	270	4243
60	272	4193
61	273	4145
62	275	4102
63	278	4076
64	280	4032
65	282	3993
66	284	3955
67	285	3916
68	287	3874
69	288	3829
70	290	3794
71	291	3757
72	293	3725
73	294	3688
74	296	3660
75	298	3633
76	299	3596
77	301	3566
78	303	3534
79	304	3501
80	306	3473
81	307	3444
82	308	3410
83	310	3386
84	312	3359
85	313	3332
86	314	3304
87	316	3275
88	317	3253
89	319	3229
90	320	3206
91	322	3182
92	323	3157
93	325	3133
94	326	3110
95	328	3089
96	329	3069
97	331	3050
98	333	3032
99	335	3015
100	336	2995
101	338	2980
102	340	2960
103	341	2942
104	343	2928
105	345	2912
106	346	2895
107	348	2874
108	349	2856
109	350	2836
110	352	2821
111	354	2806
112	355	2790
113	357	2775
114	358	2760
115	360	2746
116	361	2727
117	363	2716
118	372	2761
119	375	2751
120	377	2741
121	379	2731
122	384	2740
123	386	2732
124	388	2722
125	390	2707
126	394	2709
127	396	2702
128	399	2695
129	401	2689
130	405	2690
131	414	2725
132	421	2749
133	423	2737
134	425	2724
135	426	2709
136	427	2693
137	429	2682
138	431	2670
139	434	2669
140	435	2655
141	436	2639
142	438	2627
143	440	2617
144	444	2621
145	447	2618
146	449	2608
147	451	2601
148	453	2591
149	455	2579
150	456	2567
151	458	2558
152	460	2549
153	461	2537
154	463	2526
155	465	2518
156	467	2507
157	468	2497
158	470	2487
159	472	2479
160	476	2480
161	477	2471
162	479	2464
163	481	2454
164	483	2445
165	485	2437
166	486	2428
167	488	2417
168	489	2406
169	490	2396
170	492	2387
171	494	2381
172	498	2382
173	499	2372
174	502	2367
175	504	2361
176	506	2356
177	508	2347
178	510	2339
179	511	2331
180	513	2322
181	515	2317
182	517	2310
183	519	2303
184	521	2297
185	523	2289
186	524	2281
187	526	2275
188	528	2268
189	529	2258
190	531	2252
191	533	2247
192	536	2242
193	538	2237
194	540	2229
195	541	2223
196	544	2219
197	546	2211
198	548	2209
199	550	2202
200	552	2196
201	553	2188
202	555	2181
203	557	2174
204	559	2168
205	560	2161
206	562	2156
207	564	2148
208	565	2141
209	567	2135
210	569	2129
211	571	2123
212	573	2117
213	575	2114
214	577	2107
215	578	2101
216	581	2096
217	583	2091
218	584	2083
219	585	2076
220	587	2072
221	589	2067
222	591	2061
223	593	2056
224	596	2052
225	598	2048
226	600	2043
227	602	2038
228	603	2033
229	605	2028
230	607	2022
231	609	2016
232	611	2012
233	613	2006
234	614	2000
235	616	1996
236	618	1991
237	620	1985
238	621	1979
239	623	1975
240	625	1971
241	627	1964
242	628	1958
243	630	1952
244	632	1948
245	633	1942
246	635	1937
247	637	1932
248	639	1927
249	641	1923
250	642	1917
251	644	1912
252	645	1906
253	647	1902
254	649	1897
255	651	1892
256	652	1887
257	654	1882
258	656	1877
259	657	1872
260	659	1867
261	660	1861
262	662	1857
263	664	1852
264	666	1847
265	668	1844
266	669	1839
267	671	1833
268	673	1829
269	675	1825
270	677	1822
271	679	1818
272	681	1814
273	682	1809
274	684	1805
275	686	1800
276	688	1795
277	689	1791
278	691	1786
279	693	1783
280	695	1778
281	696	1774
282	698	1770
283	700	1765
284	702	1762
285	704	1758
286	706	1754
287	708	1751
288	710	1748
289	712	1743
290	714	1740
291	715	1735
292	718	1733
293	720	1730
294	722	1726
295	724	1722
296	726	1718
297	728	1715
298	730	1712
299	732	1708
300	733	1704
301	736	1702
302	738	1697
303	739	1693
304	741	1689
305	743	1686
306	744	1681
307	747	1678
308	748	1674
309	750	1670
310	752	1666
311	753	1661
312	756	1659
313	757	1655
314	759	1652
315	763	1651
316	766	1650
317	768	1648
318	770	1644
319	772	1642
320	774	1638
321	776	1634
322	778	1631
323	780	1628
324	782	1624
325	783	1620
326	785	1616
327	788	1616
328	790	1611
329	791	1607
330	794	1605
331	795	1601
332	797	1597
333	799	1594
334	800	1589
335	801	1584
336	803	1580
337	805	1576
338	806	1572
339	808	1568
340	810	1565
341	812	1564
342	814	1559
343	816	1557
344	818	1553
345	819	1549
346	821	1545
347	823	1542
348	825	1540
349	827	1536
350	829	1533
351	831	1530
352	833	1528
353	836	1525
354	837	1522
355	840	1520
356	842	1517
357	844	1514
358	846	1511
359	849	1509
360	851	1507
361	853	1504
362	855	1501
363	858	1499
364	861	1499
365	863	1495
366	866	1493
367	868	1491
368	870	1488
369	872	1485
370	873	1481
371	875	1477
372	877	1474
373	879	1472
374	881	1468
375	883	1465
376	884	1462
377	886	1459
378	889	1456
379	891	1454
380	893	1451
381	895	1448
382	897	1445
383	899	1442
384	901	1440
385	903	1436
386	904	1433
387	906	1429
388	908	1427
389	910	1424
390	912	1420
391	914	1417
392	915	1413
393	917	1411
394	919	1407
395	920	1404
396	922	1401
397	924	1397
398	925	1394
399	927	1391
400	928	1387
401	930	1384
402	932	1380
403	933	1377
404	935	1374
405	937	1371
406	939	1369
407	941	1366
408	943	1362
409	945	1360
410	947	1357
411	948	1354
412	950	1351
413	953	1349
414	956	1348
415	958	1345
416	960	1342
417	961	1339
418	963	1335
419	965	1332
420	966	1329
421	968	1326
422	969	1322
423	971	1319
424	973	1316
425	975	1314
426	977	1311
427	978	1307
428	980	1305
429	982	1302
430	984	1299
431	986	1296
432	988	1294
433	990	1291
434	992	1288
435	994	1285
436	995	1283
437	997	1279
438	999	1277
439	1000	1273
440	1002	1271
441	1004	1267
442	1005	1264
443	1007	1261
444	1009	1259
445	1011	1256
446	1013	1253
447	1015	1251
448	1017	1248
449	1018	1245
450	1020	1242
451	1022	1239
452	1023	1236
453	1025	1233
454	1027	1230
455	1028	1226
456	1030	1224
457	1031	1221
458	1033	1218
459	1035	1216
460	1038	1213
461	1040	1211
462	1042	1209
463	1044	1206
464	1046	1203
465	1048	1201
466	1050	1198
467	1052	1195
468	1053	1193
469	1055	1190
470	1057	1187
471	1059	1185
472	1061	1182
473	1063	1179
474	1064	1177
475	1067	1174
476	1069	1172
477	1070	1169
478	1072	1166
479	1074	1163
480	1076	1161
481	1077	1158
482	1079	1155
483	1081	1152
484	1082	1149
485	1084	1147
486	1086	1144
487	1088	1141
488	1090	1139
489	1092	1136
490	1093	1133
491	1095	1131
492	1097	1128
493	1099	1125
494	1101	1124
495	1103	1121
496	1105	1118
497	1106	1115
498	1108	1113
499	1110	1110
500	1112	1108
501	1114	1105
502	1115	1102
503	1117	1099
504	1118	1096
505	1120	1094
506	1122	1091
507	1124	1088
508	1126	1086
509	1127	1083
510	1129	1080
511	1131	1078
512	1133	1075
513	1135	1073
514	1136	1070
515	1138	1068
516	1140	1065
517	1142	1062
518	1143	1060
519	1145	1057
520	1147	1054
521	1148	1051
522	1150	1049
523	1152	1046
524	1154	1044
525	1156	1042
526	1158	1039
527	1159	1036
528	1161	1034
529	1163	1031
530	1165	1029
531	1167	1026
532	1168	1024
533	1170	1021
534	1172	1018
535	1173	1016
536	1175	1013
537	1177	1010
538	1178	1007
539	1179	1004
540	1181	1002
541	1183	999
542	1184	997
543	1186	994
544	1187	991
545	1189	989
546	1190	986
547	1192	983
548	1194	981
549	1196	978
550	1197	976
551	1199	973
552	1201	971
553	1203	968
554	1204	966
555	1206	963
556	1208	961
557	1209	958
558	1211	955
559	1213	953
560	1215	950
561	1217	948
562	1219	946
563	1220	943
564	1222	941
565	1224	938
566	1225	936
567	1227	933
568	1229	931
569	1231	928
570	1232	925
571	1233	923
572	1235	920
573	1237	918
574	1238	915
575	1240	913
576	1242	910
577	1243	907
578	1244	905
579	1246	902
580	1248	900
581	1250	897
582	1252	896
583	1254	893
584	1255	890
585	1257	888
586	1258	885
587	1260	883
588	1261	880
589	1264	878
590	1265	876
